ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Unit Price USD
1,P70-2200045,"3V3,GND,RESET,SWDCLK,SWDIO",TESTPOINT-TH_BD2.0-D1.0,5,P70-2200045,Harwin,LCSC,C21890164,1.561
2,10uF,"C1,C5",C0603,2,GRM188R61E106MA73D,muRata,LCSC,C91606,0.02
3,100nF,"C2,C6,C7,C8",C0603,4,CC0603KRX7R9BB104,YAGEO,LCSC,C14663,0.003
4,20pF,"C3,C4",C0603,2,0603CG200J500NT,FH,LCSC,C91702,0.003
5,1uF,C9,C0603,1,CL10A105KB8NNNC,SAMSUNG,LCSC,C15849,0.005
6,USB6B1RL,D1,SOP-8_L4.9-W3.9-P1.27,1,USB6B1RL,TECH PUBLIC,LCSC,C7419953,0.525
7,FC-DA1608BK-470H10,LED1,LED0603-RD,1,NCD0603B1,国星光电,LCSC,C84266,0.015
8,5.1kΩ,"R1,R2",R0603,2,RC0603FR-075K1L,YAGEO,LCSC,C105580,0.001
9,1kΩ,R3,R0603,1,RC0603FR-071KL,YAGEO,LCSC,C22548,0.001
10,TS-1187A-C-E-B,SW1,SW-SMD_4P-L5.1-W5.1-P3.70,1,TS-1187A-C-E-B,XKB Connection,LCSC,C318887,0.038
11,NRF52840-QFAA-R7,U1,QFN-48_L6.0-W6.0-P0.40,1,NRF52840-QFAA-R7,NORDIC,LCSC,C3606765,4.449
12,AP2112K-3.3TRG1,U2,SOT-25-5_L2.9-W1.6-P0.95,1,AP2112K-3.3TRG1,DIODES,LCSC,C51118,0.136
13,TYPE-C 16P(073),USB1,USB-C-SMD_TYPE-C16PIN,1,TYPE-C 16P(073),SHOU HAN,LCSC,C668624,0.092
14,32MHz,X1,CRYSTAL-SMD_4P-L3.2-W2.5,1,X322532MOB4SI,YXC,LCSC,C9009,0.069
